DEVELOPER_ADDRESS,DEVELOPER_ADDRESS_PRED
"Universiteler Mah. Ihsan Dogramaci Bulv. No:19 Silikon Blok, ODTU Teknokent, Cankaya 06800 Ankara, Turkey","Beytepe, İhsan Doğramacı Bulvarı No:19, Çankaya/Ankara, Turkey"
"Eliezer Kaplan st. 2
6473403 Tel Aviv","Eliezer Kaplan Street 2, Tel Aviv-Yafo, Israel"
"Saltykova-Schedrina st., 35-20 Kaluga, Russia","Saltykova-Schedrina St, Kaluga, Russia"
"100 George St
Parramatta, NSW 2150
Australia","100 George St, Parramatta NSW 2150, Australia"
"Florian Meyszies
Dompfaffenweg 47
22147 Hamburg","Dompfaffenweg 47, Hamburg-Wandsbek 22147 Hamburg, Germany"
icorewwwi@gmail.com,undefined
"1-16-17 Esaka-cho, Suita, Osaka, Japan 564-0063","Akiyoshi Esaka, 1 Chome-23-37 Esakacho, Suita, Osaka 564-0063, Japan"
"International House
12 Constance Street
London
E16 2DQ","12 Constance Street, London, UK"
"45, Abira, Abira-cyo, Yuufutu-gun, Hokkaido, Japan","45 Abira, Hokkaido, Japan"
"Pod Strelpici 21, 68001 Boskovice, Czech Republic",undefined
"PO Box 30070
5136 MacArthur Blvd NW
Washington DC, 20016","5136 MacArthur Boulevard Northwest, Washington, DC, USA"
"Castleview House
Calder Island Office Park
Wakefield
WF27AW
United Kingdom","castleview house, Calder Island Way, Wakefield WF2 7AW, United Kingdom"
"115c Milton Road
Cambridge
CB4 1XE","115c Milton Road, Cambridge CB4 1XE, UK"
"2323 Sarah St
Pittsburgh, PA 15203","2323 Sarah St, Pittsburgh, PA 15203, USA"
"Skrobarenska 502/1
617 00 Brno
Czech Republic","Škrobárenská 502/1, 617 00 Brno-South, Czech Republic"
"65 West Beaver Creek Rd.
Unit B
Richmond Hill, Ontario, L4B1K4
Canada","65 West Beaver Creek Rd, Richmond Hill, Ontario L4B 1K4, Canada"
"108818, Dmitriy Ryabinkin Street, 4/1","108818, Street 4th, Dinod, Haryana 127111, India"
"55/115 Chor.rungruang 5
Rattanathibet road  bangrakpatthana
Bangbuatong,Nontaburi,11110",undefined
"1066 West Franklin Ave
Trenton NJ 08534
","W Franklin Ave, Pennington, NJ, USA"
"Net Tech Development Ltd
Kirkstall
Garstang Road
Preston
PR3 6AR","Garstang Road, Fulwood, Preston, UK"
"3277 S White Rd  909
San Jose, CA 95148","3277 S White Rd, San Jose, CA 95148, USA"
"Office B, 17th Floor, King Palace Plaza, No.55 King Yip Street, Kowloon, Hong Kong","55 King Yip Street, Kwun Tong, Hong Kong"
"Hexage s.r.o.
U koleji 1604
252 10 Mnisek pod Brdy
Czech Republic","U Kolejí, 252 10 Mníšek pod Brdy, Czech Republic"
"Bucharest, Romania","Bucharest, Romania"
"10685-B Hazelhurst Dr.  11389
Houston, TX 77043
United States","10685 Hazelhurst Dr, Houston, TX 77043, United States"
"C28 Forster Court
7 Charles Babbage Road
Cambridge

CB3 0FT","7 Charles Babbage Road, Cambridge CB3 0FT, UK"
"51260721, 1a Travessa John Bispo, n13","1A Travessa John Bispo - Jordão, Recife - State of Pernambuco, Brazil"
"22-23, An Khanh, Ninh Kieu, Can Tho, Viet Nam","22 Đường số 23, An Khánh, Ninh Kiều, Cần Thơ, Viet Nam"
"6-27-30 Shinjuku, Shinjuku-ku, Tokyo 160-8447,Japan","6 Chome-27-30 Shinjuku, Shinjuku City, Tokyo, Japan"
"Level 2
44 Pirie Street
Adelaide
SA 5000
Australia","2 Pirie Street, Adelaide SA 5000, Australia"
"489, Dongdaegu-ro, Dong-gu, Daegu, Republic of Korea 12th floor 1203.","489 Dongdaegu-ro, Dong-gu, Daegu, Republic of Korea"
"Broetzenbergerstrasse 17-19/4/3
2201 Gerasdorf
Austria",undefined
"Tran Hung Dao, Ninh Kieu, Can Tho, Viet Nam","Trần Hưng Đạo, Ninh Kiều, Cần Thơ, Viet Nam"
"Level 1, 702 Ann St
Fortitude Valley
Brisbane
QLD 4006
Australia","1 Ann St, Fortitude Valley Brisbane, QLD 4006, Australia"
"Rönnbärsvägen 12
38271 Orrefors
Sweden","Rönnbärsvägen 12, Tyresö, Sweden"
"PO Box 554
Kalona, IA
52247","United States Postal Service, 5th Street, Kalona, IA 52247, USA"
"6/193 Beaconsfield Prd., Middle Park, VIC 3206, AU","6/193 Beaconsfield Parade, Middle Park VIC 3206, Australia"
"First Floor,
Telecom House,
125-135 Preston Road,
Brighton
East Sussex
BN1 6AF
",undefined
" 1201 10721 Saskatchewan Drive NW, Edmonton, Alberta T6E 6J5","1201 Saskatchewan Drive Northwest, Edmonton, Alberta T6E 6J5, Canada"
"16 Mannhein Crescent
Piara Waters
WA 6112
Australia
","16 Mannhein Crescent, Piara Waters WA 6112, Australia"
"UL. INSTRUMENTALNAYA, D. 3, C. K, K, ST.
PETERSBURG, RUSSIA

197022",undefined
"56 Shoreditch High Street
London
UK
E1 6JJ","56 Shoreditch High Street, London E1 6JJ, UK"
"Riemsdijkstraat 186
6701 BC Wageningen (NL)","Riemsdijkstraat 186, 6701 BC Wageningen, Gelderland, Netherlands"
"309-3407 39th Ave
Vernon, BC V1T 3E3","3407 39th Avenue, Vernon, BC V1T 3E3, Canada"
"Rio Danubio 395 Ote
Col. Del Valle
San Pedro Garza García, N.L.
México, 66220","Río Danubio 395, Del Valle, 66220 Monterrey, N.L., Mexico"
"Calea Turzii 111, Cluj-Napoca, 400492, Romania","Calea Turzii 111, Cluj-Napoca, Romania"
"Jean-François Geyelin
8 Rue de Londres
75009 Paris
France",undefined
"17408 Stare St
Northridge CA 91325-1534","17408 Stare Street, Northridge, CA, USA"
"Lupis Labs
1322 Rollins St.
Grand Blanc, MI 48439","1322 Rollins St, Grand Blanc, MI 48439, USA"
"C/ Manuel Fuentes Bocanegra, nº 23, 6º-2","C. Manuel Fuentes ""Bocanegra"", no 23, Córdoba, Spain"
"Zephiroth Games
NTI
Birmingham","NTI, Cardigan Street, Birmingham, UK"
"601 Vintage Dr F146 Kenner, LA 70065","601 Vintage Dr, Kenner, LA 70065, USA"
"2019 N Lamar St, STE 300
Dallas, TX75202","2019 N Lamar St, Dallas, TX 75202, USA"
東京都新宿区西新宿4-32-4 ハイネスロフティ2F,undefined
"439a Topsham Road, United Kingdom, EX2 7AF","439A Topsham Road, Exeter EX2 7AF, United Kingdom"
Słowiańska 4/23 78-300 Świdwin,"Słowiańska 4/23, 78-300 Świdwin, Poland"
"21 rue de la Marne
94400 Vitry-sur-Seine
France","21 Rue de la Marne, 94400 Vitry-sur-Seine, France"
"3525 Del Mar Heights Road  1013
San Diego CA 92130","3525 Del Mar Heights Road, San Diego, CA 92130, USA"
"1600 Amphitheatre Pkwy
Mountain View, CA 94043","1600 Amphitheatre Pkwy, Mountain View, CA 94043, USA"
"An Nghiep, Ninh Kieu, Can Tho, Viet Nam","An Nghiệp, Ninh Kiều, Cần Thơ, Viet Nam"
kesoftgames@gmail.com,undefined
"Molodogvardiyska st. 57b, Mykolaiv, Mykolaivska obl., 54018 Ukraine","57B, Molodohvardiiska Street, Mykolaiv, Mykolaiv Oblast, Ukraine"
"PO Box 248
Clarksburg, NJ 08510
USA","Clarksburg, Millstone, NJ 08510, USA"
"Trinket Studios, Inc
2017 W IRVING PARK RD STE 2F
CHICAGO IL
60618-3981","Trinket Studios, 2017 W Irving Park Rd, Chicago, IL 60618, USA"
"Klingholz 13
97232 Giebelstadt
Germany","Klingholz 13, 97232 Giebelstadt, Germany"
"William GREGOIRE
86 boulevard de Lozère
91120 Palaiseau
FRANCE","86 Boulevard de Lozère, 91120 Palaiseau, France"
"34 Obolon Ave, 12, Kyiv, Ukraine","Obolon, Kyiv, Ukraine"
"EDIF. PRAT DE LA MOLA, BLOC A - LOCAL 2
AD300 Ordino, Andorra",undefined
"Monster Couch sp. z o.o.
Garbary 64, 61-758, Poznań, Poland","Garbary 64, 61-758 Poznań, Poland"
"5450 Leary Ave NW
Unit  109
Seattle, WA 98107
United States","5450 Leary Ave NW, Seattle, WA 98107, United States"
"450 S. Melrose Drive
Vista, CA 92081","450 South Melrose Drive, Vista, CA 92081, USA"
"50 Public Square Suite 200
Cleveland, OH
44113","50 Public Square, Cleveland, OH 44113, USA"
"400-981 Wellington Street West
Ottawa, ON
K1Y 2Y1","400-981 Wellington Street West, Ottawa, ON K1Y 2X8, Canada"
"Schreinerweg 2d
51789 Lindlar
Germany","Schreinerweg 2D, 51789 Lindlar, Germany"
"Pettenkoferstrasse 16-18
10247 Berlin
Germany","Pettenkoferstraße 16-18, 10247 Berlin, Germany"
"Za černým mostem 1150/1c
Praha
19800","Za černým mostem 1150/1c, 198 00 Prague 14, Czechia"
"201. Kadugodi. Bangalore. 560067
Karnataka
India","201, Kadugodi Fly Over, Kadugodi Colony, Maithri Layout, Kadugodi, Bengaluru, Karnataka 560067, India"
"Via Pestalozzi 3, 20143, Milan, italy","Via Giovanni Enrico Pestalozzi, 3, 20143 Milan, Metropolitan City of Milan, Italy"
1688826 Alberta Inc-477 78 Ave NE Calgary T2K 5A1 Alberta CA,"477 78 Avenue Northeast, Calgary, AB, Canada"
"33 Chetwynd Road,
Southsea,
Hampshire,
PO4 0LZ,
England","33 Chetwynd Road, Southsea, Portsmouth, Southsea PO4 0LZ, England, UK"
"Stefan Meyer-Kahlen
Klever Str. 58
40477 Düsseldorf
Germany","Stefan Meyer-Kahlen, Klever Str. 58, 40477 Düsseldorf, Germany"
"Russian Federation, 358011, Elista, P.O.Box 5.","Republic of Kalmykia, Russia, 358011"
"PO Box 730
Louisville, TN 37777","730 Louisville Road, Louisville, TN 37777, USA"
"3345 State St. #31067
Santa Barbara, CA 93130",undefined
"4044 N. Lincoln Ave
Suite 386
Chicago, IL 60618","4044 N Lincoln Ave, Chicago, IL 60618, USA"
"144 Pius Street
Pittsburgh, PA 15203","144 Pius Street, Pittsburgh, PA 15203, USA"
"Dorchester Woods Lane Hanover, MD 21076","Dorchester Woods Lane, Hanover, MD 21076, USA"
"60 Bayview Ave
Pointe Claire, Quebec
CANADA
H9S-5C3","60 Bayview Ave, Pointe-Claire, Quebec H9S 5C3, Canada"
"Feldgasse 40b
3423 Wördern
Austria","Feldgasse 40b, Wördern 3423 Sankt Andrä-Wördern, Austria"
"FUNFORGE
24 rue Charlot
75003 Paris
FRANCE","Funforge, 24 Rue Charlot, 75003 Paris, France"
"1-3-5, Kanda-Jimbocho, Chiyoda-ku, Tokyo 101-0051","1 Chome-3-5 Kanda Jinbocho, Chiyoda City, Tokyo, Japan"
"2596 N 2150 E
North Logan UT 84341","2596 N 2150 E, North Logan, UT 84341, USA"
"Skrzydlata 11c/30
54-129 Wrocław
Poland","Skrzydlata 11c/30, 54-129 Wrocław, Poland"
"748 Maple St.
Ogden, UT 84403","748 Maple St, Ogden, UT 84403, USA"
"Survivalist Developments Ltd
Marnei
Roseacre
Preston
Lancashire
England
PR4 3UE",undefined
"243 The Sycamores
Milton
Cambridge
CB24 6ZD
UK","243 The Sycamores, Milton, Cambridge CB24 6ZD, UK"
"970 Park Place
San Mateo, CA 94403
(USA)","970 Park Place, San Mateo, CA 94403, USA"
"300 Elliott Ave W, Seattle, WA 98119","300 Elliott Ave W, Seattle, WA 98119, USA"
"SparkGames Studios, G-11 Markaz, Islamabad, Pakistan","G-11 Markaz G 11 Markaz G-11, Islamabad, Pakistan"
"Wooga GmbH
Saarbruecker Str. 38
D-10405 Berlin
Germany , Fax: +49-30-89 64 90 64
Handelsregister: Berlin-Charlottenburg, HRB 117846
Geschäftsführer: Nai Chang USt-ID: ‪ DE264806829‬‬
Plattform zur Online-Streitbeilegung der EU-Kommission: ‪‪http://www.ec.europa.eu/consumers/odr‬‬‬‬",undefined
"Sepapaja tn 6, 15551 Tallinn, Estonia
(European Union)","Artur Lind Building, Sepapaja, Tallinn, Estonia"
"Ukraine, Kiev, Filatova 10A, app 3/23","Vulytsya 10-A Sadova, 3/23, Kyiv, Ukraine"
"Le Duc Tho, My Dinh, Nam Tu Liem, Ha Noi","Lê Đức Thọ, My Dinh 2, Nam Từ Liêm, Hà Nội, Vietnam"
"Temple, HongKong","Temple Street, Yau Ma Tei, Hong Kong"
King Hussein Business Park -Building no.20,"King Hussein Business Park, Amman, Jordan"
"Esentepe Mahallesi, Talatpaşa Caddesi, No: 5-6 Şişli, İstanbul  34394","Esentepe, Talatpaşa Caddesi no 5-6, 34394 Şişli/İstanbul, Turkey"
"Kablukova vul
build 1
flat 74
Kiev, Ukraine 03065",undefined
"EARTHKWAK GAMES
4 PLACE DE LA FONTAINE
55700 LANEUVILLE-SUR-MEUSE
FRANCE","4 Place de la Fontaine, 55700 Laneuville-sur-Meuse, France"
"3652 Eastham Drive
Culver City, CA 90232","3652 Eastham Drive, Culver City, CA 90232, USA"
"400-410 St. Nicolas
Montreal, Quebec, Canada
H2Y 2P5","400-410 Rue St Nicolas, Montréal, Québec H2Y 2P5, Canada"
"9/F.,MW Tower, NO.111 Bonham Strand Sheung Wan, Hong Kong","MW Tower, Bonham Strand, Sheung Wan, Hong Kong"
"Glάdstonos, 85-403, 3032, Limassol, Cyprus","Limassol Avenue 85-403, Strovolos, Cyprus"
"Hafenstraße 13

96052 Bamberg","Hafenstraße 13, 96052 Bamberg, Germany"
NY,"NYC, NY, USA"
"36, Scotts Road, Bromley, United Kingdom, BR1 3QD","36 Scotts Road, Bromley BR1 3QD, United Kingdom"
"4th floor, Red Oak North, South County Business Park, Leopardstown, Dublin 18 D18 X5K7, Ireland",undefined
"1205 Melville Street,
Vancouver BC, V6E 0A6
Canada","1205 Melville Street, Vancouver, BC V6E 0A6, Canada"
"30 Panagioti Tsagkari, Office 2, 4041 Limassol, CY",undefined
"Antakalnio st. 17, LT-10312, Vilnius, Lithuania
","Antakalnio gatvė 17, Vilnius, Lithuania"
"107 Faneromenis Avenue, 6031, Larnaca, Cyprus","Pets & More, Faneromenis, Larnaca, Cyprus"
東京都千代田区六番町4番地5,"Japan, Tokyo, Chiyoda City, Rokubancho, ４−5"
"Johar town, Lahore","Johar Town, Lahore, Pakistan"
"15 Grote Street, Adelaide, SA 5000, Australia","15 Grote Street, Adelaide SA 5000, Australia"
"5 Rockcrest Rd
Manhasset
New York 11030
United States","5 Rockcrest Rd, Manhasset, New York 11030, United States"
"10420 NE 37th Cir
Kirkland, WA 98033-7924","10420 Northeast 37th Circle, Bellevue, WA, USA"
"6 rue de Hanovre,
75002 Paris
FRANCE","6 Rue de Hanovre, 75002 Paris, France"
"Edinburgh House170 Kennington Ln, Lambeth, London SE11 5DP
","Edinburgh House, 170 Kennington Ln, London SE11 5DP, UK"
"6 Agar Street
London WC2N 4HN","6 Agar Street, London WC2N 4HN, UK"
ah hf dong man chan ye yuan.,"Cong Hua Dong Man Chan Ye Yuan, 广从公路 Conghua District, Guangzhou, Guangdong Province, China"
"1 KM Thokar Niaz Baig, Multan Road,
Lahore, Pakistan.
","Multan Road, Samanabad Town, Lahore, Pakistan"
"London, United Kingdom","London, United Kingdom"
"Ave Makati City Manila 1227.
Philippines","Makati Avenue, Makati, Metro Manila, Philippines"
"Tower House
Lucy Tower Street
Lincoln
LN1 1XW
UK","Tower House Wealth Management, Lucy Tower Street, Lincoln LN1 1XW, UK"
"Slovenska 23
10 000 Zagreb
Hrvatska","Slovenska, Zagreb, Hrvatska"
"1F., No. 3, Aly. 45, Ln. 20, Fengjia Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)",undefined
"111 N Broad St,Norwich,NewYork,US","111 N Broad St, Norwich, NY, USA"
"Yuriya Kondratyuka St, 7","Yuriya Kondratyuka St, 7, Kyiv, Ukraine"
"134 Park Road, Auburn, NSW 2144, Australia","134 Park Road, Auburn NSW 2144, Australia"
"Diagorou 4, KERMIA BUILDING, 2nd floor, Flat/Office 204, 1097, Nicosia, Cyprus",undefined
"Mikado House
Rued Langgaards Vej 8
2300 Copenhagen, Denmark","Mikado House, Rued Langgaards Vej 8, 2300 Copenhagen Municipality, Denmark"
"Burj Al-Madina
3rd Floor
Deira Dubai
UAE",Burj Al Madina - Third Industrial Street - Sharjah - United Arab Emirates
"Birger Jarlsgatan 18, Stockholm 114 34, Sweden","Birger Jarlsgatan 18, 114 34 Stockholm, Sweden"
Ljubljanska cesta 24d,"Ljubljanska cesta 24d, Kranj, Slovenia"
28354 Ynez Rd Temecula CA,"28354 Ynez Rd, Temecula, California, USA"
東京都文京区本郷2-38-5,"Japan, 東京都文京区本郷２−３８−5"
"875 Howard, Suite 100
San Francisco CA 94103","875 Howard Garage (Propark), Howard Street, San Francisco, CA 94103, USA"
"HN, VN","Hà Nội, Hoàn Kiếm, Hanoi, Vietnam"
"ul. Przemysłowa 11
35-105 Rzeszów","Przemysłowa 11, Rzeszow, Poland"
Russia. Penza. Revolucionnaya 71,"Penza, Russia"
"27-33 Bethnal Green Road
Third Floor, Left Wing
London
E1 6LA",undefined
"304 S. Jones Blvd  679, Las Vegas NV 89107","304 S Jones Blvd, Las Vegas, NV 89107, USA"
Sharqi Colony Vehari,"Sharqi Colony Vehari, Pakistan"
"144-B Mir Street, Maulana Shaukat Ali Road Lahore","144B Mir Street, Al Rahim Homes, Lahore, Pakistan"
"Beit Hilel 18 Tel Aviv, Israel.","Beit Hilel Street 18, Tel Aviv, Israel"
"Clementi Central Post Office, PO Box 041 Singapore 911202","Commonwealth Avenue West, SAM - Clementi Central Post Office, The Clementi Mall, Singapore"
"Einsteinova 19, 851 01 Bratislava, Slovakia","Einsteinova 19, 851 01 Petržalka, Slovakia"
"Bystřička 99
756 24","Bystřička 99, 756 24 Bystřička, Czechia"
"The Lords, 1st Floor, Block 1, Plot 1 & 2,
Northern Extn Area, T.V.K Ind. Estate,
Ekkaduthangal, Chennai.",undefined
"Office  18-y , Dha Phase 1 , Sector F
Islamabad , Pakistan","Sector F DHA Phase 1, Islamabad, Pakistan"
"FLAT/RM 1506 15/F
LUCKY CENTRE
NO.165-171 WANCHAI ROAD
WANCHAI","Lucky Centre, Wan Chai Road, Morrison Hill, Hong Kong"
"604, Tower A, New Trade Plaza, 6 On Ping Street, Hong Kong","New Trade Plaza, 6 On Ping Street, Sha Tin, Hong Kong"
"8605 Santa Monica Blvd  56565
West Hollywood, California 90069-4109","8605 Santa Monica Boulevard, West Hollywood, CA, USA"
"Lahore
Pakistan","Lahore, Pakistan"
"Qianliang Hutong, Dongcheng District, Beijing","Qianliang Hutong, Qianliang Hu Tong, Dongcheng District, Beijing, China"
"No.2 Sumitomo Bldg. 4-7-28 Kitahama Chuo-Ku, Osaka 541-0041, Japan","4 Chome-7-28 Kitahama, Chuo Ward, Osaka, Japan"
"13516 SE 81st Place

WA, 98059

U.S","13516 Southeast 81st Place, Newcastle, WA 98059, U.S."
"Ristonmaantie 3 A 5
40500 Jyväskylä
Finland","Ristonmaantie 3a, Jyväskylä, Finland"
"Вологодская обл., г. Череповец ул.","ул. пр-т. Победы, г. Череповец, Вологодская обл., Russia"
"guangguzongbu,hongshanqu,wuhan,hubei,china","Wuhan, Hubei, China"
"Sant Esteve, 7, 08402 Granollers, Barcelona, Spain","Avinguda Sant Esteve, 7, 08402 Granollers, Barcelona, Spain"
"Savoy Court,
London","Savoy Court, London, UK"
"Room 17 6F, 12, Daewangpangyo-ro 645beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do, Republic of Korea","6 Daewangpangyo-ro, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea"
"9-H Aitchison Society, Lahore","Aitchison Society Lahore, Pakistan"
"Kalevankatu 34 A 10
00180 Helsinki
FINLAND","Kalevankatu 34, Helsinki, Finland"
"Kowloon Peninsula, Hong Kong","The Peninsula Hong Kong, Salisbury Road, Tsim Sha Tsui, Kowloon, Hong Kong"
"655 Knight Way Stanford, CA 94305","655 Knight Way, Stanford, CA 94305, USA"
東京都中央区銀座4-12-15  歌舞伎座タワー,"Japan, 東京都中央区銀座４−１２−15 歌舞伎座タワー"
"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe/1, 74626 Estonia","Tallinn - Narva, Tallinn, Estonia"
"PO Box 2532
Redmond, WA 98073","Redmond, WA 98073, USA"
神奈川県鎌倉市御成町11-8,"Japan, 神奈川県鎌倉市御成町１１−8"
"3100 Ocean Park Blvd.
Santa Monica, California, 90405","3100 Ocean Park Blvd, Santa Monica, California 90405, USA"
"3600 136th Pl SE   300, Bellevue, WA 98006","E2E Supply chain solutions, LLC (Bellevue), 3600 136th Pl SE, Bellevue, WA 98006, USA"
"Oceangatan 3
25225 Helsingborg
Sweden","Oceangatan 3, 252 25 Helsingborg, Sweden"
10 ANSON ROAD   21-07 INTERNATIONAL PLAZA SINGAPORE (079903),"10 Anson Road, International Plaza, Singapore 079903"
Linnankatu 6 D,"Linnankatu 6, Turku, Finland"
"1 FUSIONOPOLIS PLACE, 17-10, GALAXIS, Singapore","1 Fusionopolis Place, Singapore, Galaxis, Singapore"
"Landsberger Str. 155
80687 Muenchen, Germany","Landsberger Str. 155, 80687 München, Germany"
"Ukraine, Odessa, Moldovanka ort.","Ódessa, Odessa Oblast, Ukraine"
東京都目黒区青葉台4-7-7 青葉台ヒルズ10F,undefined
"〒106-6224
東京都港区六本木3丁目2番1号
住友不動産六本木グランドタワー24F",undefined
"699 8th Street, San Francisco. CA","699 8th Street, San Francisco, California, USA"
〒113-0034 東京都文京区湯島3-31-1 中川ビル 202,"Japan, Tokyo, Bunkyo City, Yushima, 3 Chome−31−1 中川ビル"
"Habashan 18 Rishon Lezion, Israel","HaBashan 18, Rishon LeTsiyon, Israel"
"ERZENE MAH. ANKARA CAD. EBILTEM NO: 172 /14, 35100, Bornova/IZMIR","Kazımdirik, 172. Sokak No:14, Bornova/İzmir, Turkey"
"FLAT 707 FORTRESS TOWER 250
KING'S RD NORTH POINT
HONG KONG","Fortress Tower, 250 King's Rd, North Point, Hong Kong"
"Chemin des Mésanges 47
1226 Thônex, Switzerland","Chemin des Mésanges 47, 1226 Thônex, Switzerland"
"4 Freeman Close Castle Hill, Ebbsfleet Valley Swanscombe, Kent, United Kingdom, DA10 1BY","4 Freeman Close, Ebbsfleet Valley, Swanscombe, Kent DA10 1BY, United Kingdom"
"Jatkasaarenlaituri 1
00180 Helsinki
Finland","Jätkäsaarenlaituri 1, 00180 Helsinki, Finland"
"Poxel Studios, Rosy Street, Gulgasht Colony, ML, PK","Rosy Street, B Block Gulgasht Colony, Multan, PK"
"1146 Budapest, Hungária körút 162-166","Budapest, Hungária körút 162-166, 1146 Hungary"
"Block D, Iveagh Court Harcourt Road Dublin 2 Dublin, Dublin D02","Iveagh Court, Harcourt Road, Saint Kevin's, Dublin 2, Dublin, D02 R640, Ireland"
"Me Tri, Nam Tu Liem, Ha Noi, Viet Nam","Mễ Trì, Nam Từ Liêm, Hà Nội, Viet Nam"
"201/15 Barangaroo Avenue
Sydney NSW 2000","201/15 Barangaroo Avenue, Barangaroo Sydney, NSW 2000, Australia"
東京都港区芝5-37-8　バンダイナムコ未来研究所,"Japan, 東京都港区芝５−３７−8 バンダイナムコ未来研究所"
"Hamanofim ,1
Hertzliya, Israel, 46725","Shvil Israel 46725, Herzliya"
"243, 28 th Oktovriou Street, 7 th Floor, Apartment 702/802, at Christiana Sea View Court, 3035 Limassol, Cyprus",undefined
"Pulau Tekong, Singapore","Pulau Tekong, Singapore"
"Kirilla Turovskogo st., 20, 102
Minsk, Belarus, 220076",undefined
"Lightheart Entertainment
Lapinlahdenkatu 16
00180 Helsinki
Finland","Lapinlahdenkatu 16, 00180 Helsinki, Finland"
"16 rue d'Athènes
75009 Paris
FRANCE","16 Rue d'Athènes, 75009 Paris, France"
"104 Westmore Drive,
West Pennant Hills,
2125, NSW, Australia","104 Westmore Drive, West Pennant Hills NSW 2125, Australia"
"17F Shibuya Infoss Tower, 20-1, Sakuragaokacho,Shibuya-ku, Tokyo, 150-0031,  Japan","Japan, Tokyo, Shibuya City, Sakuragaokacho, 20−1 渋谷インフォスタワー"
"30B Gladstonos, 3041 Limassol, Cyprus","Gladstonos 30b, Limassol, Cyprus"
"Miniclip SA
Case Postale 2671
2001 Neuchâtel
Switzerland",undefined
"3 Themistokli Dervi Street, Julia House, CY-1066 Nicosia, Cyprus","Themistokli Dervi 3, Nicosia, Cyprus"
"182 Le Dai Hanh, Ward 15, District 11, HCMC","182 Đường Lê Đại Hành, Phường 15, District 11, Ho Chi Minh City, Vietnam"
北京市朝阳区,"China, 北京市朝阳区"
"TEKMOBIL YAZILIM
ISTANBUL
TURKIYE","İstanbul, Türkiye"
"3205 - G3, Vinhomes Greenbay - Me Tri - Nam Tu Liem - Ha Noi","Vinhomes Green bay, Đường Cao Tốc 08, Mễ Trì, Từ Liêm, Hanoi, Vietnam"
"Kurfurstendamm 52, 10707 Berlin","Kurfürstendamm 52, 10707 Berlin, Germany"
"Teresa Dymek
HOME NET GAMES
Lusina, ul Zdrojowa 29
30-698 Kraków","Home Net Games, Zdrojowa, Kraków, Poland"
"Boumpoulinas, 1-3 BOUBOULINA BUILDING,
Flat/Office 42, 1060, Nicosia, Cyprus
",undefined
"ALDA GAMES s.r.o.
BRNO, KLICOVA 1261/2D, 618 00
CZECH REPUBLIC",undefined
"141 MIDDLE ROAD  05-06 GSM BUILDING, SINGAPORE, 188976","141 Middle Road, GSM Building, Singapore 188976, Singapore"
"Czech republic, Prague, U rychty 14/6, 16000","U Rychty 14/6, 160 00 Suchdol, Prague, Czech Republic"
"W8621 Brown Deer Dr.
Wautoma 54982","W8621 Brown Deer Dr, Wautoma, WI 54982, USA"
"Av. Príncipe de España 11, Icod de los Vinos, Santa Cruz de Tenerife.","Av. Príncipe de España, 11, Icod de los Vinos, Santa Cruz de Tenerife, Spain"
"102 Lenina Prosp., Office 311
Volgograd, 400078
Russia",undefined
"Pasilankatu 2, 00240 Helsinki, Finland","Pasilankatu 2, 00240 Helsinki, Finland"
"UNIT 17, 9/F, TOWER A, NEW MADARIN PLAZA, No. 14 SCIENCE MUSEUM RD, TST, KL",undefined
"1118 Alberni Street, Suite 200, Vancouver, British Columbia, V6E 1A5, Canada","1118 Alberni Street, Vancouver, British Columbia V6E 1A5, Canada"
"東京都渋谷区千駄ヶ谷3-60-5
オー・アール・ディ原宿ビル2階",undefined
"
Bearbit Studios B.V.

van den Berch van Heemstedeweg 17a
2215RK Voorhout
Netherlands","Bearbit Studios B.v., Van den Berch van Heemstedeweg 17a, 2215 RK Voorhout, Netherlands"
"Россия, Тула, ул. Ленина, д21, 30  300041","ул. Ленина, Tula, Russia"
"Nueva Providencia 1363 of 1404
Santiago, Chile
7500589
RM, SANTIAGO, CHILE","Avenida Nueva Providencia 1363, Providencia, Santiago, RM, Chile"
info@upperpik.com,undefined
Rostov,"Rostov-on-Don, Russia"
"King.com Limited
Aragon Business Centre, Level 4, Dragonara Road, St Julians STJ3140, Malta",undefined
"Kauppakatu 7, 2 krs - 87100 - Kajaani, Finland","Kauppakatu 7, 87100 Kajaani, Finland"
"1 WALLICH STREET, SINGAPORE","1 Wallich Street, Singapore"
"18 Shafarnyanskaya Street, office 18, Minsk, Belarus, 220125",undefined
"Motilor 119, Cluj-Napoca","Calea Moților 119, Cluj-Napoca, Romania"
"Agiou Andreou 330, 3035, Limassol, Cyprus","Agiou Andreou 330, Limassol, Cyprus"
"2461 Santa Monica Blvd  123
Santa Monica CA 90404","2461 Santa Monica Blvd, Santa Monica, CA 90404, USA"
"Flat/RM603  06/F, Laws Commercial Plaza 788 Cheung Sha Wan Road, KL
",undefined
Garden 15-23 Castle Peak RD TSUEN WAN,"15 Castle Peak Road - Ting Kau, Tsuen Wan, Hong Kong"
"12531 South Fort Street
DRAPER, UTAH 84020
United States","12531 South Fort Street, Draper, Utah 84020, United States"
